81 28
76 24
100 50
1 1 1
1 2 1
1 3 0
1 4 1
1 5 0
1 6 0
1 7 0
1 8 0
1 9 1
1 10 0
1 11 0
1 12 0
1 13 0
1 14 0
1 15 1
1 16 0
1 17 0
1 18 0
1 19 0
1 20 0
1 21 0
1 22 1
1 23 0
1 24 0
1 25 0
1 26 0
1 27 1
1 28 0
1 29 0
1 30 0
1 31 0
1 32 0
1 33 1
1 34 0
1 35 0
1 36 0
1 37 0
1 38 0
1 39 0
1 40 1
1 41 0
1 42 0
1 43 0
1 44 1
1 45 1
1 46 0
1 47 0
1 48 0
1 49 0
1 50 0
2 1 0
2 2 0
2 3 1
2 4 0
2 5 1
2 6 0
2 7 0
2 8 0
2 9 0
2 10 0
2 11 0
2 12 0
2 13 0
2 14 0
2 15 0
2 16 0
2 17 1
2 18 0
2 19 1
2 20 1
2 21 1
2 22 1
2 23 0
2 24 0
2 25 0
2 26 0
2 27 0
2 28 0
2 29 0
2 30 1
2 31 0
2 32 1
2 33 0
2 34 0
2 35 1
2 36 0
2 37 0
2 38 0
2 39 0
2 40 0
2 41 0
2 42 0
2 43 1
2 44 0
2 45 0
2 46 0
2 47 0
2 48 1
2 49 0
2 50 0
3 1 0
3 2 0
3 3 1
3 4 1
3 5 0
3 6 0
3 7 1
3 8 1
3 9 0
3 10 0
3 11 0
3 12 0
3 13 1
3 14 0
3 15 0
3 16 1
3 17 0
3 18 0
3 19 0
3 20 0
3 21 0
3 22 1
3 23 0
3 24 0
3 25 0
3 26 0
3 27 0
3 28 0
3 29 0
3 30 0
3 31 0
3 32 1
3 33 0
3 34 0
3 35 0
3 36 0
3 37 0
3 38 1
3 39 0
3 40 0
3 41 0
3 42 0
3 43 0
3 44 0
3 45 0
3 46 1
3 47 1
3 48 0
3 49 0
3 50 1
4 1 0
4 2 0
4 3 0
4 4 0
4 5 0
4 6 1
4 7 0
4 8 0
4 9 1
4 10 0
4 11 0
4 12 1
4 13 1
4 14 0
4 15 0
4 16 0
4 17 1
4 18 0
4 19 0
4 20 1
4 21 0
4 22 1
4 23 0
4 24 1
4 25 0
4 26 0
4 27 1
4 28 0
4 29 1
4 30 0
4 31 0
4 32 0
4 33 1
4 34 0
4 35 0
4 36 0
4 37 0
4 38 0
4 39 0
4 40 1
4 41 1
4 42 1
4 43 0
4 44 0
4 45 0
4 46 0
4 47 0
4 48 0
4 49 0
4 50 0
5 1 0
5 2 0
5 3 0
5 4 0
5 5 0
5 6 1
5 7 0
5 8 0
5 9 0
5 10 0
5 11 0
5 12 0
5 13 0
5 14 0
5 15 1
5 16 0
5 17 0
5 18 0
5 19 1
5 20 1
5 21 0
5 22 0
5 23 1
5 24 1
5 25 0
5 26 1
5 27 0
5 28 1
5 29 0
5 30 1
5 31 0
5 32 0
5 33 1
5 34 0
5 35 0
5 36 0
5 37 0
5 38 0
5 39 1
5 40 0
5 41 1
5 42 0
5 43 0
5 44 0
5 45 0
5 46 0
5 47 0
5 48 1
5 49 0
5 50 0
6 1 0
6 2 1
6 3 1
6 4 0
6 5 0
6 6 0
6 7 0
6 8 0
6 9 0
6 10 1
6 11 1
6 12 0
6 13 0
6 14 0
6 15 1
6 16 0
6 17 0
6 18 0
6 19 0
6 20 0
6 21 0
6 22 0
6 23 0
6 24 0
6 25 0
6 26 0
6 27 0
6 28 0
6 29 1
6 30 0
6 31 0
6 32 1
6 33 0
6 34 1
6 35 0
6 36 1
6 37 0
6 38 0
6 39 1
6 40 0
6 41 0
6 42 1
6 43 0
6 44 0
6 45 0
6 46 0
6 47 0
